date,actual,predict,delta,delta_pct
2020-01-28,5974,6809,-835,-13.98
2020-01-29,7711,8884,-1173,-15.21
2020-01-30,9692,11041,-1349,-13.92
2020-01-31,11791,13415,-1624,-13.77
2020-02-01,14380,15888,-1508,-10.49
